Affiliate State Name,PA Nationality,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Tennessee,Honduras,,,1,,4,,,,,9,,
Tennessee,India,,,,,,,,,,1,,
Tennessee,Iran,,,,,,,,,,3,,
Tennessee,Iraq,,,,,,,9,,,,,
Tennessee,Moldova,,,,,,,,,,,,6
Tennessee,Republic of Sou ..,,8,,6,,,,,,3,,
Tennessee,Rwanda,,1,,,,,,,,,,
Tennessee,Somalia,,,,1,1,3,,,,,,7
Tennessee,Sudan,,6,32,6,2,,,1,12,,,12
Tennessee,Syria,,,5,,,5,10,10,,,,
Tennessee,Uganda,,1,2,1,2,,,,,1,,
Tennessee,Ukraine,,1,,,4,,,,,,,
Tennessee,Venezuela,,,,,,,,,6,,,2
Texas,Afghanistan,,,,,16,1,8,51,30,26,31,46
Texas,Burma,2,9,14,1,13,19,32,8,16,10,13,75
Texas,Burundi,,,,,,,,2,1,,1,14
Texas,Cambodia,,,,4,,,3,,,,,
Texas,Central African ..,,,,,,,,9,,,,
Texas,Chad,,,,,,,,,,,6,
Texas,Colombia,,,,,,2,,2,,,,11
Texas,Dem . Rep . Con ..,28,39,22,,25,94,36,22,115,73,68,197
Texas,El Salvador,,2,,7,6,3,,1,3,3,4,14
Texas,Eritrea,,4,2,,,,1,,6,,1,4
Texas,Ethiopia,4,,,,2,,,4,,,,
Texas,Guatemala,,1,17,10,7,12,13,17,17,5,19,3
Texas,Honduras,,1,3,1,17,3,,1,8,,3,17
Texas,Iran,,,2,9,1,1,,14,1,1,4,9
Texas,Iraq,,3,1,,,8,5,11,9,8,,6
Texas,Ivory Coast,,,,,,,,,,,,1
Texas,Liberia,,,,,,6,,,,,,
Texas,Moldova,,,,,4,,,,,,,8
Texas,Nepal,,,,1,,,,,,,,
Texas,Pakistan,,,,1,,,,,,,,
Texas,Republic of Sou ..,,9,2,,6,2,,,,,,
Texas,Rwanda,5,,,,,5,8,,,,1,
Texas,Senegal,,,,,,1,,,,,,
Texas,Somalia,,9,,,,,3,,1,7,,
Texas,Sudan,,20,30,12,32,6,,,3,,4,
Texas,Syria,,30,4,5,26,51,34,29,58,12,36,73
Texas,Uganda,,2,2,,,,1,,,,,
Texas,Ukraine,,,,3,,,,,,,4,
Texas,Uzbekistan,,,,,,,,,1,,,
Texas,Venezuela,,,,,,,,4,,5,6,11
Utah,Afghanistan,,,,,,,4,7,,,6,11
Utah,Armenia,,,,,,,,,,,4,
Utah,Burma,,,,,,,4,,,8,3,3
Utah,Burundi,,,,,,,,,,,,1
Utah,Central African ..,,,8,,,,,6,,,,
Utah,China,,,,,,,2,,,,,
Utah,Dem . Rep . Con ..,,19,5,,14,14,18,5,18,10,20,21
Utah,El Salvador,,,,,,7,,,,,,2
Utah,Eritrea,,1,,,,,,,,,,2
Utah,Guatemala,,,,4,,,,,,4,,13
Utah,Honduras,,,,5,,,,,,1,,
Utah,Iraq,,1,,,,,1,,,,,
Utah,Ivory Coast,,,,,,,1,,,,,
Utah,Jordan,,,1,,,,,,,,,
Utah,"Korea , North",,4,,,,,,,,,,
Utah,Palestine,,,,,,,,,,,6,
Utah,Republic of Sou ..,,2,18,,,,,,,,,
Utah,Somalia,,,,,2,1,3,5,1,2,,
Utah,Sudan,,,19,10,1,11,,6,,11,4,8
Utah,Syria,,8,7,,11,9,22,,5,6,,13
Utah,Uganda,1,,,,,,,,,,,
Vermont,Afghanistan,,,,,,,,3,1,,,5
Vermont,Burma,,,,,2,,,,,,,
Vermont,Dem . Rep . Con ..,,3,,,,7,,,12,9,6,5
Vermont,Guatemala,,,,,,,,,,,3,
Vermont,Somalia,,,,,,2,,,,,,
Vermont,Sudan,,7,4,,7,,,,13,2,,
Virginia,Afghanistan,,4,5,4,9,3,11,26,43,31,23,42
Virginia,Bhutan,,,,4,,,,,,,,
Virginia,Burma,,,,3,8,4,,,,,,
Virginia,Colombia,,,,,,,7,,2,,3,
Virginia,Dem . Rep . Con ..,,5,,,32,3,16,2,24,8,5,53
Virginia,El Salvador,,,,4,8,7,6,1,,,,
Virginia,Eritrea,,1,,,,,,,5,,,2
Virginia,Ethiopia,,,,,,,,,,5,,
Virginia,Guatemala,,,,4,5,10,,1,2,,,
Virginia,Honduras,,,,13,6,1,,,,4,,5
Virginia,Iran,,,,3,8,2,2,1,,,,
Virginia,Iraq,,,,,,,,6,,,1,5
Virginia,Pakistan,,,,,2,,,,,,,
Virginia,Republic of Sou ..,,,1,,,6,,,1,,,
Virginia,Sudan,,4,4,,,,,1,7,,3,9
Virginia,Syria,3,3,9,,,19,13,6,19,7,,13
Virginia,Ukraine,,4,,,3,,2,,,,,
Washington,Afghanistan,,,,,,2,24,15,15,5,3,24
Washington,Armenia,,,,,1,,,2,,,2,
Washington,Burma,,,,5,,1,3,2,,4,,12
Washington,Burundi,,1,,,,,,,,4,,
Washington,China,,,,,,,,,,,,1
Washington,Colombia,,,,,2,,4,,,,,
Washington,Dem . Rep . Con ..,,11,,,,,1,13,8,24,5,32
Washington,El Salvador,,8,,,,3,1,,1,,,1
Washington,Eritrea,,,2,,3,,,1,5,5,,7
Washington,Ethiopia,,,,,,5,,,1,,7,9
Washington,Guatemala,,2,5,,,2,1,1,5,,,18
Washington,Guinea,,,,,,,,1,,,,
Washington,Honduras,,,4,,7,1,,,,,9,7
Washington,Iran,,1,1,,1,,1,,4,,1,8
Washington,Iraq,,,2,,,,,2,,,1,6
Washington,Jordan,,,1,,,,,,,,,
Washington,Moldova,6,,,3,8,,13,10,9,10,23,71
Washington,Russia,,,,6,,5,,,,,2,
Washington,Senegal,,,,,1,,,,,,,
Washington,Somalia,1,1,1,,1,7,8,,2,2,,1
Washington,Sudan,,7,8,4,4,,,11,,2,,
Washington,Syria,,7,,8,,22,15,32,6,5,8,29
Washington,Uganda,,1,,,,,,,,,,
Washington,Ukraine,6,30,5,38,145,9,10,20,37,32,42,98
Washington,Venezuela,,,3,,,,,,4,,,4
Washington,Yemen,,,,,,,,,,4,,
West Virginia,Eritrea,,1,,,,,,,,,,
West Virginia,Syria,,4,,6,,,,,,,,
West Virginia,Uganda,,1,1,,,,,,,,,
Wisconsin,Afghanistan,,,,,,,,,,,,7
Wisconsin,Burma,,4,5,1,22,52,38,12,8,34,44,103
Wisconsin,Burundi,,,,,,,,,,,,14
Wisconsin,Dem . Rep . Con ..,,3,,,3,6,17,13,57,10,27,72
Wisconsin,Iran,,,,,,,,,,,,1
Wisconsin,Iraq,,,,,4,,,,,,,
Wisconsin,Pakistan,,,,,3,,,,,,,
Wisconsin,Republic of Sou ..,,,,,,,,,,,,6
Wisconsin,Somalia,,,,,1,,,,2,,,10
Wisconsin,Sudan,,,,7,,,,,,,,
Wisconsin,Syria,,,,5,13,10,,,,,21,1
